country_pair_cat,year,ln_fdi_instock,l_ln_origin_gdp_pc,l_ln_host_gdp_pc,l_ln_origin_pop,l_ln_host_pop,log_dist,l_origin_social_protect_gdp,l_host_social_protect_gdp
AUT_GBR,2004,4.4564047,10.441883,10.380432,17.903965,15.910016,7.121413,14.39856468,20.97219299
AUT_GBR,2005,4.222425,10.598341,10.513838,17.909653,15.91622,7.121413,14.68510588,20.56136148
AUT_GBR,2006,4.081368,10.640745,10.555894,17.91652,15.923033,7.121413,14.56364091,20.23215577
AUT_GBR,2007,4.065459,10.6993475,10.612392,17.92387,15.92798,7.121413,14.19733379,19.85819445
AUT_GBR,2008,3.7782505,10.82563,10.754829,17.931656,15.931222,7.121413,14.26190541,19.40548895
AUT_GBR,2009,3.7915382,10.757596,10.853383,17.939528,15.934353,7.121413,14.87103398,19.58206629
AUT_GBR,2010,3.8585033,10.557224,10.778189,17.94709,15.936972,7.121413,16.7649506,21.23554083
AUT_GBR,2011,4.021741,10.573362,10.754878,17.95493,15.939376,7.121413,16.88218834,21.39940439
AUT_GBR,2012,3.9096234,10.637118,10.846906,17.962748,15.942747,7.121413,16.6773079,20.69431497
AUT_GRC,2005,-3.5603824,9.996755,10.513838,16.20932,15.91622,7.157424,14.02930063,20.56136148
AUT_GRC,2011,2.601181,10.2005415,10.754878,16.224377,15.939376,7.157424,18.80671235,21.39940439
AUT_GRC,2012,2.650094,10.162627,10.846906,16.222897,15.942747,7.157424,20.21262722,20.69431497
AUT_HUN,2004,-1.0889679,9.038763,10.380432,16.130968,15.910016,5.373715,15.66955352,20.97219299
AUT_HUN,2005,-1.3090905,9.239544,10.513838,16.128754,15.91622,5.373715,15.71184779,20.56136148
AUT_HUN,2010,0.33741996,9.475,10.778189,16.120358,15.936972,5.373715,18.11952728,21.23554083
AUT_HUN,2011,0.6310463,9.479774,10.754878,16.118097,15.939376,5.373715,17.40301115,21.39940439
AUT_HUN,2012,0.67403096,9.555215,10.846906,16.115265,15.942747,5.373715,16.92267971,20.69431497
AUT_IRL,2008,1.6477057,11.024509,10.754829,15.296875,15.931222,7.4277363,13.08713338,19.40548895
AUT_IRL,2009,0.80910844,11.022917,10.853383,15.317262,15.934353,7.4277363,15.45493468,19.58206629
AUT_IRL,2010,0.9252066,10.861019,10.778189,15.327418,15.936972,7.4277363,18.01906072,21.23554083
AUT_IRL,2011,0.9036905,10.793746,10.754878,15.332868,15.939376,7.4277363,17.72877416,21.39940439
AUT_IRL,2012,0.3671175,10.85609,10.846906,15.337228,15.942747,7.4277363,16.19964876,20.69431497
AUT_ITA,2004,3.4158292,10.217832,10.380432,17.864042,15.910016,6.6430254,17.25537118,20.97219299
AUT_ITA,2005,3.2677884,10.347358,10.513838,17.870514,15.91622,6.6430254,17.28979544,20.56136148
AUT_ITA,2006,5.688595,10.372217,10.555894,17.875427,15.923033,6.6430254,17.35882974,20.23215577
AUT_ITA,2007,5.983609,10.416633,10.612392,17.878433,15.92798,6.6430254,17.39468496,19.85819445
AUT_ITA,2008,5.947572,10.537383,10.754829,17.883482,15.931222,6.6430254,17.53495229,19.40548895
AUT_ITA,2009,5.9236746,10.612513,10.853383,17.890106,15.934353,6.6430254,18.10799484,19.58206629
AUT_ITA,2010,5.9412074,10.518047,10.778189,17.894663,15.936972,6.6430254,19.81482353,21.23554083
AUT_ITA,2011,5.4656687,10.487082,10.754878,17.89774,15.939376,6.6430254,19.85822498,21.39940439
AUT_ITA,2012,5.4884195,10.554111,10.846906,17.899458,15.942747,6.6430254,19.77946345,20.69431497
AUT_JPN,2008,3.6398594,10.470936,10.754829,18.66755,15.931222,9.120532,13.38959311,19.40548895
